+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|bus_conversion8                                                                ; 14    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder1enavcc                                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder1user_aclrgnd                                                   ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder1|PipelinedAdderi|\gnp:gsn:U0|auto_generated                    ; 66    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder1|PipelinedAdderi                                               ; 70    ; 2              ; 4            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder1                                                               ; 70    ; 1              ; 2            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder2enavcc                                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder2user_aclrgnd                                                   ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder2|PipelinedAdderi|\gnp:gsn:U0|auto_generated                    ; 66    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder2|PipelinedAdderi                                               ; 70    ; 2              ; 4            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder2                                                               ; 70    ; 1              ; 2            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder3enavcc                                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder3user_aclrgnd                                                   ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder3|PipelinedAdderi|\gnp:gsn:U0|auto_generated                    ; 66    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder3|PipelinedAdderi                                               ; 70    ; 2              ; 4            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder3                                                               ; 70    ; 1              ; 2            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder4enavcc                                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder4user_aclrgnd                                                   ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder4|PipelinedAdderi|\gnp:gsn:U0|auto_generated                    ; 66    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder4|PipelinedAdderi                                               ; 70    ; 2              ; 4            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder4                                                               ; 70    ; 1              ; 2            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplierenavcc                                                               ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplieruser_aclrgnd                                                         ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier|Multiplieri|\greg:U0|auto_generated                                 ; 52    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier|Multiplieri                                                         ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier                                                                     ; 53    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|in_1_0                                                                         ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|delaysclrgnd                                                                   ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|delay|Delay1i|u0                                                               ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|delay|Delay1i                                                                  ; 37    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|delay                                                                          ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adderenavcc                                                          ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adderuser_aclrgnd                                                    ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder|PipelinedAdderi|\gnp:gsn:U0|auto_generated                     ; 66    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder|PipelinedAdderi                                                ; 70    ; 2              ; 4            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|pipelined_adder                                                                ; 70    ; 1              ; 2            ; 1              ; 33     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier1enavcc                                                              ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier1user_aclrgnd                                                        ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier1|Multiplieri|\greg:U0|auto_generated                                ; 39    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier1|Multiplieri                                                        ; 40    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|multiplier1                                                                    ; 40    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|x8|Outputi|u0                                                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|x8|Outputi                                                                     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|x8                                                                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0|clock_0                                                                        ; 3     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv1_0                                                                                ; 51    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast50|Outputi|u0                                                              ; 32    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast50|Outputi                                                                 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast50                                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast49|Outputi|u0                                                              ; 32    ; 2              ; 0            ; 2              ; 32     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast49|Outputi                                                                 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast49                                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast48|Outputi|u0                                                              ; 31    ; 13             ; 0            ; 13             ; 31     ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast48|Outputi                                                                 ; 31    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast48                                                                         ; 31    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast47|Outputi|u0                                                              ; 32    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast47|Outputi                                                                 ; 32    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast47                                                                         ; 32    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast46|Outputi|u0                                                              ; 32    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast46|Outputi                                                                 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast46                                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast45|Outputi|u0                                                              ; 32    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast45|Outputi                                                                 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast45                                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast44|Outputi|u0                                                              ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast44|Outputi                                                                 ; 16    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|cast44                                                                         ; 16    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|x4|Outputi|u0                                                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|x4|Outputi                                                                     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|x4                                                                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|id_1_12                                                                        ; 0     ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|clk_60k_0                                                                      ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|out1_0                                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|delay1sclrgnd                                                                  ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; P1_T|\PLL_3orden_change_GN_0:inst_PLL_3orden_change_GN_0|pll_3orden_change_pll_0|pll_3orden_change_pll_sogi_0|pll_3orden_change_pll_sogi_1_sv2_0|delay1|Delay1i|u0                                                              ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
